Hex Representation, Visits, Green Win Rate
0d02080400000010300000000080400201, 22, 0.3181818
0d050000000000a0301000000000008102, 50, 0.48
0d02210000000010300000000020100201, 51, 0.49019608
0d00010400100000302000200080000201, 23, 0.3478261
0d01100000000024309000000000200002, 32, 0.4375
0d0a010000000000302000000020104001, 45, 0.4888889
0d02010000000058302000000000000801, 56, 0.44642857
0d04102000000020301000000000008102, 86, 0.55813956
0d05002000000020301000000000008102, 50, 0.44
0d0a000000000010302000000020104001, 55, 0.47272727
0d02a10400000000304000000000000201, 70, 0.5714286
0d00010400000012302800000000000201, 71, 0.52112675
0d01060800020020300400000000000100, 42, 0.45238096
0d42010000000010302800080000000001, 39, 0.41025642
0d01060800020020301400000000000000, 47, 0.4893617
0d02091000000050302000200000000000, 17, 0.4117647
0d05022000000020309000000040000000, 71, 0.49295774
0d00010000000018302000000020400201, 79, 0.48101267
0d01000000200020301400000000800102, 56, 0.44642857
0d81020000000004300000000040008102, 64, 0.484375
0d02010000000050302800000000004200, 70, 0.4857143
0d01020800000020301000000040000102, 162, 0.5617284
0d01060800000020300000000040000102, 82, 0.4878049
0d050200000000a0301000000000000102, 68, 0.4852941
0d01060800000020301000000040000002, 101, 0.5247525
0d00022000200020301000100100000100, 2, 0
0d42090000000000300000000000400a01, 60, 0.51666665
0d80020000000025308000000000000500, 37, 0.5675676
0d0a010000000000300000000020044201, 33, 0.45454547
0d80020000000025309000000000000400, 6, 0.33333334
0d02010000000040302000000020400201, 66, 0.530303
0d01062000000020301000000000000102, 76, 0.5263158
0d81120000000020301000100000000002, 45, 0.6
0d01020000000020301400000010800002, 93, 0.53763443
0d01120000200020301000000000000102, 108, 0.5648148
0d000200008000a0301000000040010100, 37, 0.45945945
0d40000500000010302800080000000200, 22, 0.54545456
0d02211402000000300000000000000201, 30, 0.5
0d00010000500010302000000080020200, 8, 0.375
0d00000000000025301400000000280002, 19, 0.6315789
0d00028000200020301400100010000000, 18, 0.33333334
0d00028000200020301400100000000100, 23, 0.39130434
0d00028000200020301400000010000100, 40, 0.5
0d42098000000000300000000000500200, 30, 0.5
0d05022000080000300000000010000102, 30, 0.5
0d050200000000a0300000000440000002, 22, 0.54545456
0d00120804000020301000000000000102, 39, 0.51282054
0d00060800000020300500000000000102, 16, 0.375
0d02200400000010306000000000000201, 21, 0.33333334
0d01020000000024301000000400200002, 22, 0.5
0d81120000000000301000000000008402, 66, 0.4848485
0d81120000000000300000000000008502, 45, 0.5555556
0d4a010000000010300000000000000a01, 80, 0.5
0d80120000000000301000000000008502, 96, 0.5625
0d800000000000a4300500000000000102, 6, 0.16666667
0d000200000000a0300500100000008100, 6, 0.33333334
0d810000000000a4300400000000000102, 45, 0.46666667
0d00102004000020301000000000200102, 45, 0.53333336
0d02010000000000316800000000000801, 18, 0.5555556
0d01122000080000300500000000000002, 2, 0
0d00028004200020301000000040000100, 23, 0.6086956
0d02000400080018302000000000100001, 64, 0.5625
0d2a000440000010302000000000000001, 9, 0.22222222
0d02088400000040310000000000000201, 17, 0.47058824
0d00000004200020301000100000008102, 41, 0.6585366
0d00000400000018306000000000000a01, 84, 0.61904764
0d00040000000020308500000000800102, 27, 0.5555556
0d0a000440000010300000000020000201, 9, 0.22222222
0d02080000000048312000000000400001, 12, 0.25
0d000200040004200010c0000000200102, 63, 0.6507937
0d010200000000a04c0400000000000102, 31, 0.48387095
0d01020800003020001000000440000002, 55, 0.6181818
0d02210000000c00002040004000100200, 9, 0.22222222
0d42010000000000302000000020400201, 68, 0.5294118
0d42000000000010306000200000100200, 44, 0.5681818
0d02010000000010306000200000100200, 21, 0.2857143
0d02000400100008302000000000004201, 91, 0.6703297
0d00100004000020300000000010a00102, 18, 0.5555556
0d81020800000000301000100400000002, 16, 0.5
0d02000400100010300000000080000a01, 53, 0.5660377
